user_id,user_full_name,user_email,user_city,user_signup_date,user_is_subscriber,user_subscription_start_date,total_orders,delivered_orders,cancelled_orders,refunded_orders,total_food_revenue,total_revenue,avg_order_value,first_order_date,last_order_date,customer_lifetime_days,avg_delivery_minutes,late_delivery_count,user_segment
USR-0104,Hilda Puga Bastida,juanito.pérez@example.com,Madrid,2024-05-14,f,,4,4,0,0,140.67,156.63,39.16,2024-08-17,2025-05-25,281,60.8,3,regular
USR-1520,Abril Nélida Quintana Manrique,gonzalo.pintor@example.com,Barcelona,2025-07-20,f,,4,4,0,0,133.45,149.41,37.35,2025-08-10,2025-12-29,141,57.8,4,regular
USR-0318,Nacio Fajardo Gargallo,eduardo.crespo@example.com,Madrid,2025-01-05,f,,2,2,0,0,57.36,65.34,32.67,2025-03-05,2025-11-30,270,51.5,2,regular
USR-1002,Inmaculada Puerta Flores,natividad.mena@example.com,Madrid,2024-06-12,f,,5,5,0,0,231.06,251.01,50.20,2024-10-25,2025-12-21,422,63.0,5,regular
USR-1221,Apolonia Ani Ibáñez Girona,camilo.vaquero@example.com,Madrid,2024-01-31,f,,2,2,0,0,75.19,83.17,41.59,2024-04-05,2024-10-25,203,74.0,2,regular
USR-0685,José Cabeza Rios,dionisia.sanmartín@example.com,Madrid,2025-07-12,f,,4,3,1,1,111.90,127.86,31.97,2025-07-18,2025-12-24,159,54.0,2,regular
USR-0827,Carmelita Peral Durán,hector.montenegro@example.com,Barcelona,2024-08-16,f,,3,3,0,0,123.56,135.53,45.18,2024-08-25,2025-12-08,470,47.3,2,regular
USR-0805,Toribio Diego Roca Escalona,jose.cánovas@example.com,Valencia,2025-01-05,t,2025-01-05,2,2,0,0,92.22,92.22,46.11,2025-03-12,2025-11-24,257,50.5,2,regular
USR-1010,Marco Casal-Toledo,alejandro.ariño@example.com,Valencia,2025-08-06,t,2026-01-10,1,1,0,0,38.79,38.79,38.79,2025-09-18,2025-09-18,0,38.0,0,one_time
USR-0778,Tadeo Redondo Calderon,gema.guijarro@example.com,Barcelona,2025-07-10,f,,3,3,0,0,120.96,132.93,44.31,2025-07-21,2025-08-22,32,66.0,3,regular
USR-0661,Josefina del Huertas,federico.benitez@example.com,Valencia,2025-01-12,f,,1,1,0,0,41.42,45.41,45.41,2025-09-24,2025-09-24,0,50.0,0,one_time
USR-0205,Paca del Grau,juanita.blanca@example.com,Valencia,2025-11-26,f,,2,2,0,0,86.24,94.22,47.11,2025-12-09,2025-12-30,21,76.5,1,regular
USR-0518,Rosalía Matas Pagès,cayetano.álvarez@example.com,Valencia,2024-06-05,f,,4,4,0,0,168.84,184.80,46.20,2024-07-29,2025-04-13,258,47.5,4,regular
USR-1209,Mar Ropero Abril,benito.bejarano@example.com,Valencia,2024-06-01,t,2024-06-01,4,3,1,1,218.90,218.90,54.73,2024-07-31,2025-09-16,412,59.3,3,regular
USR-0300,Francisco Ros Rosa,nuria.camps@example.com,Barcelona,2025-03-24,t,2025-03-24,3,3,0,0,159.18,159.18,53.06,2025-04-10,2025-11-13,217,72.7,3,regular
USR-0573,Bienvenida Castell,edelmiro.barbero@example.com,Barcelona,2024-05-21,f,,2,2,0,0,97.57,105.55,52.78,2025-03-12,2025-05-17,66,48.5,2,regular
USR-0811,Lisandro Puga Tur,lidia.bas@example.com,Madrid,2025-04-01,f,,7,6,1,1,264.54,292.47,41.78,2025-05-07,2025-12-09,216,52.5,4,power_user
USR-0850,Edmundo Díez Marin,bienvenida.prats@example.com,Barcelona,2024-06-01,f,,4,4,0,0,187.34,203.30,50.83,2024-06-16,2025-03-06,263,54.8,3,regular
USR-1299,Seve Pomares Chaves,pío.lago@example.com,Barcelona,2025-08-26,t,2025-08-26,3,2,1,1,102.58,102.58,34.19,2025-09-02,2025-11-25,84,54.0,1,regular
USR-1495,Rolando Manzanares Tormo,sofía.ortega@example.com,Valencia,2024-01-03,f,,3,3,0,0,131.05,143.02,47.67,2024-06-29,2024-11-05,129,49.0,3,regular
USR-0260,Ezequiel Zorrilla Espada,benigno.alcalde@example.com,Valencia,2024-11-19,t,2024-11-19,4,4,0,0,176.88,178.37,44.59,2024-11-20,2025-04-13,144,57.5,2,regular
USR-0123,Guadalupe Ricart Hervás,ceferino.cases@example.com,Barcelona,2025-07-28,t,2025-07-28,5,5,0,0,132.04,132.04,26.41,2025-08-05,2025-12-09,126,64.4,3,regular
USR-0621,Lara Novoa,celia.torres@example.com,Madrid,2025-03-26,f,,6,5,1,1,248.07,272.01,45.34,2025-08-07,2025-11-27,112,63.6,3,power_user
USR-1196,Domingo Giménez Niño,juan antonio.castilla@example.com,Barcelona,2024-05-04,t,2024-05-04,4,2,2,2,197.61,197.61,49.40,2024-09-21,2025-10-14,388,53.0,2,regular
USR-0426,Pastora Lladó Serra,modesto.bejarano@example.com,Barcelona,2024-02-21,f,,1,0,1,1,26.83,30.82,30.82,2025-04-19,2025-04-19,0,,0,one_time
USR-0047,Fabiana Aznar Martí,débora.salazar@example.com,Barcelona,2025-03-21,t,2025-03-21,2,2,0,0,91.91,91.91,45.96,2025-08-08,2025-09-20,43,60.0,2,regular
USR-0447,Lorenzo Vargas-Posada,clemente.larrañaga@example.com,Barcelona,2025-09-14,t,2025-09-14,3,3,0,0,138.65,138.65,46.22,2025-11-06,2025-12-25,49,62.0,3,regular
USR-0575,Aurelia Feliu Cadenas,quirino.ibáñez@example.com,Valencia,2025-07-21,f,,3,3,0,0,157.53,169.50,56.50,2025-08-24,2025-12-28,126,49.0,2,regular
USR-0819,Casemiro Soto Montalbán,luciana.bautista@example.com,Madrid,2025-04-28,t,2025-04-28,4,4,0,0,174.70,174.70,43.68,2025-05-01,2025-12-31,244,46.5,2,regular
USR-1050,Aura Vilar Catalán,chus.vallejo@example.com,Valencia,2024-07-30,f,,4,3,1,1,91.31,107.27,26.82,2024-07-31,2025-06-30,334,66.3,2,regular
USR-0749,Mariano Sainz Serra,alejandra.blanes@example.com,Valencia,2024-10-22,f,,5,5,0,0,230.58,250.53,50.11,2024-11-21,2025-08-31,283,64.6,4,regular
USR-0046,Lara Casals Reina,lucas.barco@example.com,Madrid,2025-10-18,f,,3,3,0,0,124.70,136.67,45.56,2025-11-30,2025-12-11,11,60.3,3,regular
USR-0405,Caridad Barceló Jove,merche.agustí@example.com,Valencia,2025-09-26,f,,3,2,1,1,108.66,120.63,40.21,2025-11-14,2025-12-15,31,82.5,2,regular
USR-0232,Atilio Coronado,guadalupe.benavent@example.com,Madrid,2025-01-03,f,,7,7,0,0,243.05,270.98,38.71,2025-01-31,2025-07-03,153,57.1,4,power_user
USR-1394,Josefina Coello-Barral,sabina.codina@example.com,Barcelona,2025-06-26,f,,2,2,0,0,45.05,53.03,26.52,2025-07-01,2025-08-21,51,48.5,2,regular
USR-1312,Fabián Marqués Figueroa,clemente.busquets@example.com,Barcelona,2024-11-23,f,,2,1,1,1,85.74,93.72,46.86,2024-11-26,2025-08-11,258,81.0,1,regular
USR-0421,Ariel Sergio Borja Bonet,mar.gallego@example.com,Valencia,2025-01-11,f,,2,2,0,0,51.78,59.76,29.88,2025-04-01,2025-04-02,1,25.5,0,regular
