order_id,user_id,restaurant_id,payment_id,delivery_id,order_datetime,order_date,order_year,order_month,order_status,refund_reason,user_full_name,user_email,user_city,user_signup_date,user_is_subscriber,user_subscription_start_date,restaurant_name,cuisine_type,restaurant_city,restaurant_tier,restaurant_avg_rating,restaurant_commission_rate,payment_method,payment_status,currency,food_amount,delivery_fee,total_amount,courier_id,distance_km,estimated_delivery_minutes,pickup_time,delivered_time,delivery_status,actual_delivery_minutes,restaurant_commission_amount,restaurant_payout_amount,is_delivered_order,is_cancelled_order,is_refunded_payment,is_late_delivery,has_subscription_before_signup,has_delivered_before_pickup,has_invalid_delivery_duration,has_unusual_delivery_duration,has_data_quality_issue
ORD-000001,USR-1122,RES-0064,PAY-000001,DEL-000001,2025-12-07 13:48:00,2025-12-07,2025,12,delivered,,Edgardo Solé-Pazos,edelmiro.correa@example.com,Madrid,2024-06-05,f,,"Mateo, Rueda and Nuñez",italian,Madrid,premium,4.80,0.25,apple_pay,paid,EUR,68.39,3.99,72.38,CUR-0212,7.00,61,2025-12-07 13:58:00,2025-12-07 14:59:00,delivered,61,17.10,51.29,t,f,f,f,f,f,f,f,f
ORD-000002,USR-0249,RES-0015,PAY-000002,DEL-000002,2025-09-09 17:52:00,2025-09-09,2025,9,delivered,,Rafa Godoy Gallego,patricia.mariscal@example.com,Madrid,2024-03-28,t,2024-03-28,Tomé PLC,spanish,Madrid,medium,4.90,0.20,paypal,paid,EUR,42.71,0.00,42.71,CUR-0171,6.70,54,2025-09-09 18:02:00,2025-09-09 19:24:00,delivered,82,8.54,34.17,t,f,f,t,f,f,f,f,f
ORD-000003,USR-0034,RES-0052,PAY-000003,DEL-000003,2025-11-25 19:27:00,2025-11-25,2025,11,delivered,,Paola del Ramón,inés.pont@example.com,Madrid,2025-10-20,f,,Jiménez LLC,mediterranean,Madrid,medium,4.00,0.20,card,paid,EUR,12.89,3.99,16.88,CUR-0180,1.50,26,2025-11-25 19:43:00,2025-11-25 20:16:00,delivered,33,2.58,10.31,t,f,f,t,f,f,f,f,f
ORD-000004,USR-0399,RES-0054,PAY-000004,DEL-000004,2025-11-03 11:06:00,2025-11-03,2025,11,delivered,,Rita Moll Suárez,rogelio.valderrama@example.com,Madrid,2025-07-24,f,,"Arnal, Ojeda and Escudero",valencian,Madrid,small_local,4.90,0.15,paypal,paid,EUR,67.50,3.99,71.49,CUR-0173,3.10,45,2025-11-03 11:20:00,2025-11-03 12:08:00,delivered,48,10.13,57.38,t,f,f,t,f,f,f,f,f
ORD-000005,USR-0401,RES-0035,PAY-000005,DEL-000005,2025-11-28 23:45:00,2025-11-28,2025,11,delivered,,Bernabé Cabanillas,aristides.villena@example.com,Valencia,2025-04-10,f,,"Mir, Hierro and Querol",mexican,Valencia,medium,4.20,0.20,paypal,paid,EUR,11.47,3.99,15.46,CUR-0080,4.30,42,2025-11-28 23:53:00,2025-11-29 00:34:00,delivered,41,2.29,9.18,t,f,f,f,f,f,f,f,f
ORD-000006,USR-0370,RES-0041,PAY-000006,DEL-000006,2025-12-19 18:42:00,2025-12-19,2025,12,delivered,,Urbano Falcón Pagès,trinidad.flores@example.com,Madrid,2025-10-15,f,,Barroso LLC,spanish,Madrid,medium,4.80,0.20,paypal,paid,EUR,9.48,3.99,13.47,CUR-0250,4.60,39,2025-12-19 18:57:00,2025-12-19 19:39:00,delivered,42,1.90,7.58,t,f,f,t,f,f,f,f,f
ORD-000007,USR-0821,RES-0018,PAY-000007,DEL-000007,2025-12-14 18:06:00,2025-12-14,2025,12,delivered,,Noelia del Pedrero,silvia.angulo@example.com,Madrid,2025-10-23,f,,"Leon, Lillo and Naranjo",spanish,Madrid,premium,4.00,0.25,paypal,paid,EUR,48.53,3.99,52.52,CUR-0034,1.30,27,2025-12-14 18:18:00,2025-12-14 18:49:00,delivered,31,12.13,36.40,t,f,f,t,f,f,f,f,f
ORD-000008,USR-0636,RES-0044,PAY-000008,DEL-000008,2024-09-17 16:49:00,2024-09-17,2024,9,delivered,,Amor Riba Pedraza,cayetana.heras@example.com,Valencia,2024-05-26,f,,Nebot LLC,mexican,Valencia,small_local,3.80,0.15,card,paid,EUR,17.40,3.99,21.39,CUR-0136,1.30,32,2024-09-17 17:06:00,2024-09-17 17:45:00,delivered,39,2.61,14.79,t,f,f,t,f,f,f,f,f
ORD-000009,USR-1024,RES-0045,PAY-000009,DEL-000009,2024-10-31 15:36:00,2024-10-31,2024,10,delivered,,Jose Francisco Gallardo,otilia.puente@example.com,Valencia,2024-07-09,f,,Porta-Mendez,asian fusion,Valencia,medium,4.10,0.20,apple_pay,paid,EUR,18.23,3.99,22.22,CUR-0202,8.90,68,2024-10-31 15:54:00,2024-10-31 17:18:00,delivered,84,3.65,14.58,t,f,f,t,f,f,f,f,f
ORD-000010,USR-0434,RES-0079,PAY-000010,DEL-000010,2025-11-12 16:59:00,2025-11-12,2025,11,delivered,,Edgardo Fabio Blanca Alemany,esther.reyes@example.com,Barcelona,2024-05-14,t,2024-05-14,"Jáuregui, Yuste and Oller",japanese,Barcelona,medium,4.50,0.20,google_pay,paid,EUR,62.37,0.00,62.37,CUR-0242,3.40,39,2025-11-12 17:15:00,2025-11-12 17:56:00,delivered,41,12.47,49.90,t,f,f,t,f,f,f,f,f
ORD-000011,USR-1194,RES-0023,PAY-000011,DEL-000011,2025-08-20 18:56:00,2025-08-20,2025,8,delivered,,Cirino Ferrera Canales,marcos.zamorano@example.com,Barcelona,2025-07-23,f,,Aragonés Inc,spanish,Barcelona,small_local,4.50,0.15,google_pay,paid,EUR,34.46,3.99,38.45,CUR-0111,9.10,62,2025-08-20 19:12:00,2025-08-20 20:13:00,delivered,61,5.17,29.29,t,f,f,f,f,f,f,f,f
ORD-000012,USR-0258,RES-0054,PAY-000012,DEL-000012,2025-11-22 10:08:00,2025-11-22,2025,11,delivered,,Maricela Martí Jover,amelia.cobos@example.com,Madrid,2025-04-09,f,,"Arnal, Ojeda and Escudero",valencian,Madrid,small_local,4.90,0.15,google_pay,paid,EUR,10.83,3.99,14.82,CUR-0176,2.20,25,2025-11-22 10:19:00,2025-11-22 10:46:00,delivered,-3,1.62,9.21,t,f,f,f,f,f,t,t,t
ORD-000013,USR-0360,RES-0003,PAY-000013,DEL-000013,2024-11-19 15:23:00,2024-11-19,2024,11,delivered,,Eliana Portillo,juana.sans@example.com,Valencia,2024-04-10,f,,Sobrino Group,japanese,Valencia,small_local,4.40,0.15,paypal,paid,EUR,61.99,3.99,65.98,CUR-0195,8.90,72,2024-11-19 15:36:00,2024-11-19 17:04:00,delivered,88,9.30,52.69,t,f,f,t,f,f,f,f,f
ORD-000014,USR-1441,RES-0062,PAY-000014,DEL-000014,2025-12-22 15:50:00,2025-12-22,2025,12,delivered,,Rufina del Bustamante,juliana.ropero@example.com,Barcelona,2025-11-18,t,2025-11-18,"Gárate, Bosch and Gabaldón",japanese,Barcelona,medium,4.40,0.20,paypal,paid,EUR,51.20,0.00,51.20,CUR-0075,2.50,30,2025-12-22 16:06:00,2025-12-22 16:43:00,delivered,37,10.24,40.96,t,f,f,t,f,f,f,f,f
ORD-000015,USR-1538,RES-0075,PAY-000015,DEL-000015,2025-09-30 11:29:00,2025-09-30,2025,9,delivered,,Amor Jerez Seco,paulino.marquez@example.com,Valencia,2025-07-29,f,,Lladó Group,mexican,Valencia,medium,3.80,0.20,google_pay,paid,EUR,42.27,3.99,46.26,CUR-0133,7.20,66,2025-09-30 11:38:00,2025-09-30 12:39:00,delivered,61,8.45,33.82,t,f,f,f,f,f,f,f,f
ORD-000016,USR-0159,RES-0027,PAY-000016,DEL-000016,2025-11-23 09:51:00,2025-11-23,2025,11,delivered,,Cruz Carrasco Cuevas,valentina.quintero@example.com,Madrid,2025-03-06,f,,"Manrique, Carnero and Fonseca",mexican,Madrid,small_local,4.00,0.15,google_pay,paid,EUR,51.86,3.99,55.85,CUR-0149,5.20,39,2025-11-23 10:05:00,2025-11-23 10:39:00,delivered,34,7.78,44.08,t,f,f,f,f,f,f,f,f
ORD-000017,USR-0552,RES-0049,PAY-000017,DEL-000017,2025-12-30 16:40:00,2025-12-30,2025,12,delivered,,Santiago de Losada,miguel ángel.anaya@example.com,Valencia,2025-12-20,f,,"Mir, Arroyo and Durán",asian fusion,Valencia,small_local,4.40,0.15,card,paid,EUR,25.95,3.99,29.94,CUR-0036,9.10,65,2025-12-30 16:58:00,2025-12-30 18:20:00,delivered,82,3.89,22.06,t,f,f,t,f,f,f,f,f
ORD-000018,USR-0963,RES-0057,PAY-000018,DEL-000018,2025-09-06 19:47:00,2025-09-06,2025,9,delivered,,Fidela Salom Palau,abel.baños@example.com,Madrid,2025-02-11,f,,Estrada-Coll,japanese,Madrid,medium,4.30,0.20,google_pay,paid,EUR,49.31,3.99,53.30,CUR-0148,6.70,65,2025-09-06 20:04:00,2025-09-06 21:16:00,delivered,72,9.86,39.45,t,f,f,t,f,f,f,f,f
ORD-000019,USR-1026,RES-0041,PAY-000019,DEL-000019,2025-10-20 23:37:00,2025-10-20,2025,10,delivered,,Luis Miguel Gregorio Mariño Sureda,leyre.moya@example.com,Madrid,2025-07-22,t,2025-07-22,Barroso LLC,spanish,Madrid,medium,4.80,0.20,apple_pay,paid,EUR,38.24,0.00,38.24,CUR-0140,7.00,53,2025-10-20 23:57:00,2025-10-21 00:49:00,delivered,-3,7.65,30.59,t,f,f,f,f,f,t,t,t
ORD-000020,USR-0437,RES-0026,PAY-000020,DEL-000020,2025-12-23 15:47:00,2025-12-23,2025,12,delivered,,Édgar Cárdenas Crespi,visitación.perera@example.com,Valencia,2025-03-07,f,,Paniagua-Pinedo,japanese,Valencia,premium,4.00,0.25,apple_pay,paid,EUR,50.83,3.99,54.82,CUR-0100,9.40,76,2025-12-23 16:01:00,2025-12-23 17:16:00,delivered,75,12.71,38.12,t,f,f,f,f,f,f,f,f
