user_id,full_name,email,city,signup_date,is_subscriber,subscription_start_date
USR-0001,Encarna Seco Murcia,bruno.viñas@example.com,Valencia,2025-10-16,True,2025-10-16
USR-0002,Heriberto Gordillo-Cortes,antonia.falcón@example.com,Barcelona,2024-10-08,True,2024-10-08
USR-0003,José Mari Manzano Plaza,cayetano.valenciano@example.com,Valencia,2024-04-14,False,
USR-0004,Tania de Oliver,rocío.iriarte@example.com,Barcelona,2024-03-30,False,
USR-0005,Evita Jordán,nacio.peralta@example.com,Barcelona,2024-01-31,True,2024-01-31
USR-0006,Delfina Aragonés Iniesta,áfrica.burgos@example.com,Valencia,2025-06-01,False,
USR-0007,Graciano Pavón Páez,ildefonso.bernat@example.com,Valencia,2024-07-22,False,
USR-0008,Perla Bermúdez-Rovira,juan.díez@example.com,Madrid,2025-07-12,False,
USR-0009,Berta Reina Bello,josep.sosa@example.com,Barcelona,2025-05-23,False,
USR-0010,Xiomara de Cruz,rosendo.arranz@example.com,Madrid,2024-06-12,False,
USR-0011,Manu Bonilla Valencia,gracia.barragán@example.com,Madrid,2024-10-11,True,2024-10-11
USR-0012,Reinaldo de Aramburu,agustín.marqués@example.com,Barcelona,2024-04-14,True,2024-04-14
USR-0013,Demetrio Carvajal Jover,graciano.escudero@example.com,Valencia,2025-01-02,False,
USR-0014,Simón de Echeverría,vidal.mendizábal@example.com,Valencia,2024-09-27,False,
USR-0015,Eligio Gálvez Maldonado,laura.bello@example.com,Madrid,2025-04-15,False,
USR-0016,Matías Nadal Piquer,espiridión.albero@example.com,Valencia,2024-03-21,False,
USR-0017,Daniela Sara Barrena Daza,luciana.baños@example.com,Madrid,2025-09-25,False,
USR-0018,Óscar Guardia Pallarès,abel.bolaños@example.com,Barcelona,2025-08-14,True,2025-08-14
USR-0019,Pacífica Aroca Roselló,francisca.anaya@example.com,Madrid,2024-02-16,False,
USR-0020,Encarnita Navarro-Santiago,micaela.llano@example.com,Barcelona,2024-03-22,False,
USR-0021,Gonzalo Marcos Blasco,leocadio.pinto@example.com,Valencia,2025-01-24,False,
USR-0022,Dorotea Boada Carranza,nilo.arrieta@example.com,Madrid,2025-01-08,True,2025-01-08
USR-0023,Lola Román Borrego,nicodemo.benito@example.com,Valencia,2024-08-02,False,
USR-0024,Juanita Aguirre Garzón,edelmira.prado@example.com,Valencia,2025-11-30,False,
